,0
182,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ006}? [Issue 4]
183,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ006}? [Issue 5]
184,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Agriculture]
185,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Climate Change]
186,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Community Development]
187,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Conservation]
188,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Economic Development]
189,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Education]
190,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Energy]
191,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Food Security]
192,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Gender]
193,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Grant-making / Philanthropy]
194,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Health]
195,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Human Rights]
196,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Peace Building]
197,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Policy-making / Governance]
198,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Water]
199,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Wildlife / Biodiversity]
200,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Other]
201,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Issue 1]
202,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Issue 2]
203,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Issue 3]
204,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Issue 4]
205,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ007}? [Issue 5]
206,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Agriculture]
207,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Climate Change]
208,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Community Development]
209,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Conservation]
210,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Economic Development]
211,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Education]
212,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Energy]
213,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Food Security]
214,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Gender]
215,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Grant-making / Philanthropy]
216,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Health]
217,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Human Rights]
218,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Peace Building]
219,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Policy-making / Governance]
220,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Water]
221,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Wildlife / Biodiversity]
222,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Other]
223,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Issue 1]
224,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Issue 2]
225,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Issue 3]
226,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Issue 4]
227,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ008}? [Issue 5]
228,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Agriculture]
229,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Climate Change]
230,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Community Development]
231,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Conservation]
232,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Economic Development]
233,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Education]
234,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Energy]
235,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Food Security]
236,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Gender]
237,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Grant-making / Philanthropy]
238,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Health]
239,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Human Rights]
240,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Peace Building]
241,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Policy-making / Governance]
242,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Water]
243,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Wildlife / Biodiversity]
244,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Other]
245,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Issue 1]
246,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Issue 2]
247,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Issue 3]
248,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Issue 4]
249,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ009}? [Issue 5]
250,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Agriculture]
251,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Climate Change]
252,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Community Development]
253,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Conservation]
254,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Economic Development]
255,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Education]
256,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Energy]
257,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Food Security]
258,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Gender]
259,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Grant-making / Philanthropy]
260,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Health]
261,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Human Rights]
262,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Peace Building]
263,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Policy-making / Governance]
264,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Water]
265,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Wildlife / Biodiversity]
266,Which of the following issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Other]
267,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Issue 1]
268,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Issue 2]
269,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Issue 3]
270,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Issue 4]
271,Which other issues does {INSERTANS:815499X2X10} work on with {INSERTANS:815499X2X278SQ010}? [Issue 5]
